TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2022,1,7,7,57,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2022,1,16,13,46,15XX BOUNDARY RD,Hastings-Sunrise,498273.5953,5457510.695
Break and Enter Commercial,2003,12,24,0,15,15XX BOUNDARY RD,Hastings-Sunrise,498273.6005,5457512.5582
Break and Enter Commercial,2016,6,24,8,48,15XX BOUNDARY RD,Hastings-Sunrise,498273.6005,5457512.5582
Break and Enter Commercial,2012,1,18,4,17,15XX BOUNDARY RD,Hastings-Sunrise,498273.8109,5457587.0796
Break and Enter Commercial,2012,8,20,0,1,15XX BOUNDARY RD,Hastings-Sunrise,498273.8109,5457587.0796
Break and Enter Commercial,2014,11,30,8,15,15XX BOUNDARY RD,Hastings-Sunrise,498273.8109,5457587.0796
Break and Enter Commercial,2015,9,7,4,36,15XX BOUNDARY RD,Hastings-Sunrise,498273.8109,5457587.0796
Break and Enter Commercial,2003,1,2,21,41,15XX KOOTENAY ST,Hastings-Sunrise,498032.5351,5457544.0588
Break and Enter Commercial,2003,4,14,22,0,15XX KOOTENAY ST,Hastings-Sunrise,498032.5351,5457544.0588
Break and Enter Commercial,2003,5,30,1,2,15XX KOOTENAY ST,Hastings-Sunrise,498032.5351,5457544.0588
Break and Enter Commercial,2005,8,8,19,45,15XX KOOTENAY ST,Hastings-Sunrise,498032.5351,5457544.0588
Break and Enter Commercial,2003,6,11,19,30,15XX KOOTENAY ST,Hastings-Sunrise,498040.8154,5457549.4264
Break and Enter Commercial,2003,6,26,18,0,15XX KOOTENAY ST,Hastings-Sunrise,498040.8154,5457549.4264
Break and Enter Commercial,2010,8,10,2,50,16XX BOUNDARY RD,Hastings-Sunrise,498273.4877,5457465.2466
Break and Enter Commercial,2003,2,14,17,30,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2003,10,19,20,48,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2004,4,1,20,35,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2005,10,30,0,33,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2008,7,14,0,25,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2016,4,3,5,6,16XX BOUNDARY RD,Hastings-Sunrise,498273.5518,5457493.2865
Break and Enter Commercial,2020,6,12,1,30,16XX RENFREW ST,Hastings-Sunrise,496778.8954,5457437.1013
Break and Enter Commercial,2020,6,12,14,45,16XX RENFREW ST,Hastings-Sunrise,496779.0353,5457449.7219
Break and Enter Commercial,2011,5,14,17,30,16XX RENFREW ST,Hastings-Sunrise,496779.0581,5457451.7824
Break and Enter Commercial,2010,1,23,3,55,16XX RENFREW ST,Hastings-Sunrise,496779.4172,5457484.1965
Break and Enter Commercial,2010,2,6,3,57,16XX RENFREW ST,Hastings-Sunrise,496779.4172,5457484.1965
Break and Enter Commercial,2009,8,7,0,2,16XX RENFREW ST,Hastings-Sunrise,496779.5117,5457492.7265
Break and Enter Commercial,2006,8,18,17,30,16XX RENFREW ST,Hastings-Sunrise,496779.6062,5457501.2565
Break and Enter Commercial,2008,12,30,22,56,16XX RENFREW ST,Hastings-Sunrise,496779.6062,5457501.2565
Break and Enter Commercial,2008,12,30,23,0,16XX RENFREW ST,Hastings-Sunrise,496779.6062,5457501.2565
Break and Enter Commercial,2006,1,6,23,0,16XX RENFREW ST,Hastings-Sunrise,496779.7007,5457509.7865
Break and Enter Commercial,2011,3,23,3,5,16XX RENFREW ST,Hastings-Sunrise,496779.7007,5457509.7865
Break and Enter Commercial,2016,3,25,10,53,16XX RENFREW ST,Hastings-Sunrise,496779.7007,5457509.7865
Break and Enter Commercial,2017,7,4,22,15,16XX RENFREW ST,Hastings-Sunrise,496779.7329,5457512.7123
Break and Enter Commercial,2019,3,28,4,1,16XX RENFREW ST,Hastings-Sunrise,496779.7329,5457512.7123
Break and Enter Commercial,2019,4,4,2,20,16XX RENFREW ST,Hastings-Sunrise,496779.7329,5457512.7123
Break and Enter Commercial,2003,10,30,13,0,16XX RENFREW ST,Hastings-Sunrise,496788.107,5457443.1511
Break and Enter Commercial,2003,5,25,19,30,16XX RENFREW ST,Hastings-Sunrise,496788.1259,5457444.8571
Break and Enter Commercial,2012,10,24,18,0,16XX RENFREW ST,Hastings-Sunrise,496788.1259,5457444.8571
Break and Enter Commercial,2013,9,2,1,17,16XX RENFREW ST,Hastings-Sunrise,496788.1259,5457444.8571
Break and Enter Commercial,2012,3,13,9,33,16XX RENFREW ST,Hastings-Sunrise,496788.1826,5457449.9751
Break and Enter Commercial,2012,10,24,18,0,16XX RENFREW ST,Hastings-Sunrise,496788.1826,5457449.9751
Break and Enter Commercial,2003,3,10,2,40,16XX RENFREW ST,Hastings-Sunrise,496788.7308,5457499.4492
Break and Enter Commercial,2003,7,18,3,0,16XX RENFREW ST,Hastings-Sunrise,496788.7308,5457499.4492
Break and Enter Commercial,2009,10,4,9,30,16XX RENFREW ST,Hastings-Sunrise,496788.7546,5457501.609
Break and Enter Commercial,2005,9,30,3,7,17XX BOUNDARY RD,Hastings-Sunrise,498273.0483,5457351.0288
Break and Enter Commercial,2006,5,19,18,0,17XX BOUNDARY RD,Hastings-Sunrise,498273.0483,5457351.0288
Break and Enter Commercial,2007,8,8,4,18,17XX BOUNDARY RD,Hastings-Sunrise,498273.0483,5457351.0288
Break and Enter Commercial,2014,4,13,20,30,17XX BOUNDARY RD,Hastings-Sunrise,498273.0483,5457351.0288
Break and Enter Commercial,2019,1,10,4,49,17XX BOUNDARY RD,Hastings-Sunrise,498273.055,5457352.9689
Break and Enter Commercial,2003,11,17,19,45,17XX BOUNDARY RD,Hastings-Sunrise,498273.0551,5457352.9268
Break and Enter Commercial,2009,1,9,0,49,17XX BOUNDARY RD,Hastings-Sunrise,498273.0551,5457352.9268
Break and Enter Commercial,2004,9,5,13,0,17XX BOUNDARY RD,Hastings-Sunrise,498273.062,5457354.8247
Break and Enter Commercial,2006,12,20,3,22,17XX BOUNDARY RD,Hastings-Sunrise,498273.062,5457354.8247
